237,97,144,Pink
253,102,17,Pink
246,118,99,Orange
228,85,7,Orange
220,57,28,Pink
250,146,229,Orange
249,15,198,Pink
232,88,66,Pink
229,58,166,Pink
249,109,47,Pink
252,178,240,Pink
253,96,190,Pink
244,114,8,Pink
215,15,140,Pink
228,53,148,Orange
248,89,204,Pink
250,125,73,Orange
215,95,12,Pink
243,149,98,Pink
246,83,173,Pink
254,118,250,Orange
241,93,50,Orange
243,33,165,Pink
253,180,238,Pink
250,11,126,Orange
216,47,113,Orange
237,99,167,Orange
249,135,7,Pink
253,170,95,Orange
240,111,32,Pink
254,59,17,Orange
254,98,51,Orange
